VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
1,2025-11-01T00:25:45.000+05:30,2025-11-01T00:43:41.000+05:30,1,3.2,1,N,45,97,1,17.7,4.25,0.5,0.0,0.0,1.0,23.45,2.5,0.0,0.75
1,2025-11-01T00:57:27.000+05:30,2025-11-01T01:21:34.000+05:30,3,2.9,1,N,144,186,1,19.1,4.25,0.5,0.0,0.0,1.0,24.85,2.5,0.0,0.75
2,2025-11-01T00:14:33.000+05:30,2025-11-01T00:31:03.000+05:30,2,0.97,1,N,79,234,1,14.2,1.0,0.5,3.99,0.0,1.0,23.94,2.5,0.0,0.75
2,2025-11-01T00:31:40.000+05:30,2025-11-01T00:43:13.000+05:30,1,1.73,1,N,234,237,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
2,2025-11-01T00:37:05.000+05:30,2025-11-01T00:50:14.000+05:30,0,1.32,1,N,45,79,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
2,2025-11-01T00:53:04.000+05:30,2025-11-01T01:09:35.000+05:30,1,1.64,1,N,79,90,1,15.6,1.0,0.5,4.12,0.0,1.0,24.72,2.5,0.0,0.0
1,2025-11-01T00:21:00.000+05:30,2025-11-01T00:36:17.000+05:30,2,0.6,1,N,113,113,1,13.5,4.25,0.5,3.85,0.0,1.0,23.1,2.5,0.0,0.75
1,2025-11-01T00:38:38.000+05:30,2025-11-01T01:21:39.000+05:30,1,7.6,1,N,113,41,1,43.6,4.25,0.5,0.05,0.0,1.0,49.4,2.5,0.0,0.75
1,2025-11-01T00:16:43.000+05:30,2025-11-01T00:30:10.000+05:30,1,1.1,1,N,140,233,1,12.1,4.25,0.5,4.45,0.0,1.0,22.3,2.5,0.0,0.75
1,2025-11-01T00:41:14.000+05:30,2025-11-01T00:53:31.000+05:30,1,2.7,1,N,162,75,1,12.8,4.25,0.5,4.65,0.0,1.0,23.2,2.5,0.0,0.75
2,2025-11-01T00:30:40.000+05:30,2025-11-01T01:12:13.000+05:30,1,3.43,1,N,170,125,1,35.2,1.0,0.5,8.19,0.0,1.0,49.14,2.5,0.0,0.75
2,2025-11-01T00:19:03.000+05:30,2025-11-01T00:48:01.000+05:30,1,3.28,1,N,209,90,2,25.4,1.0,0.5,0.0,0.0,1.0,31.15,2.5,0.0,0.75
2,2025-11-01T00:51:27.000+05:30,2025-11-01T01:19:30.000+05:30,1,2.08,1,N,90,125,1,23.3,1.0,0.5,5.81,0.0,1.0,34.86,2.5,0.0,0.75
2,2025-11-01T00:18:31.000+05:30,2025-11-01T00:54:42.000+05:30,1,2.01,1,N,48,113,1,28.9,1.0,0.5,6.93,0.0,1.0,41.58,2.5,0.0,0.75
2,2025-11-01T00:02:48.000+05:30,2025-11-01T00:04:00.000+05:30,1,0.15,1,N,237,237,1,3.7,1.0,0.5,1.74,0.0,1.0,10.44,2.5,0.0,0.0
2,2025-11-01T00:36:04.000+05:30,2025-11-01T00:55:06.000+05:30,1,1.4,1,N,246,48,2,17.0,1.0,0.5,0.0,0.0,1.0,22.75,2.5,0.0,0.75
1,2025-11-01T00:17:59.000+05:30,2025-11-01T00:33:45.000+05:30,1,2.4,1,N,142,68,1,14.9,4.25,0.5,4.15,0.0,1.0,24.8,2.5,0.0,0.75
7,2025-11-01T00:17:16.000+05:30,2025-11-01T00:17:16.000+05:30,1,4.3,1,N,262,90,1,38.0,0.0,0.5,8.75,0.0,1.0,52.5,2.5,0.0,0.75
